# {'date': '2014-04-28 14_02_02.387000', 'exp_name': 'pupilExp', 'session': '001', 'participant': '08'}
timestamp	event	value
6.52631145142	screen_text	We will now perform a screen calibration.<br><br>Press a button to continue.
6.52636179027	flip	6.52630785579
14.6304746071	keypress	1
14.6412563359	flip	14.64125357
14.7511728675	flip	14.7511689953
15.4302430813	flip	15.4302400389
19.8967392597	flip	19.8967301323
20.0139377757	flip	20.013926159
20.0808685277	flip	20.0808654852
20.1465742755	flip	20.1465695735
20.2097193803	flip	20.2097163378
20.2730890738	flip	20.2730852015
20.336686675	flip	20.3366830793
20.4060912217	flip	20.4060881793
20.4769721903	flip	20.4769685946
20.5411262847	flip	20.5411229656
20.605897998	flip	20.605894679
20.6693573057	flip	20.6693545398
20.7340006826	flip	20.7339973636
20.8005240219	flip	20.8005207028
20.8662093023	flip	20.8662065364
20.9333079426	flip	20.9333049002
21.0152255651	flip	21.015222246
21.0901648957	flip	21.0901618532
21.1704166342	flip	21.1704138683
21.2455003432	flip	21.2454973008
21.321674082	flip	21.3216710395
21.4170955149	flip	21.4170933022
21.4929351365	flip	21.4929329238
21.5675588812	flip	21.567556392
21.6424174484	flip	21.6424152357
21.7176859177	flip	21.7176834284
21.7982524123	flip	21.798249923
21.9055416432	flip	21.9055380476
21.9840483939	flip	21.984045628
22.0599433328	flip	22.0599402904
22.1611318828	flip	22.1611293935
22.2368647417	flip	22.236862529
22.3116478007	flip	22.311645588
22.3870797329	flip	22.3870772436
22.4998174525	flip	22.4998144101
22.5754017842	flip	22.5753990183
22.6514195278	flip	22.651416762
22.7274635472	flip	22.7274605047
22.8213305608	flip	22.821327795
22.8969096373	flip	22.8969071481
23.0140572613	flip	23.014054772
23.1014609882	flip	23.1014587755
23.2004531603	flip	23.2004509476
23.3035612245	flip	23.3035576289
23.4025326525	flip	23.4025304398
23.4880840758	flip	23.4880749485
23.569865894	flip	23.5698631281
23.6504935143	flip	23.6504904719
23.7268373541	flip	23.7268345882
23.8019160846	flip	23.8019130421
23.9128214149	flip	23.9128183725
23.9885069775	flip	23.9885031052
24.0649526013	flip	24.0649498354
24.1599193251	flip	24.1599168358
24.2370818626	flip	24.2370788201
24.3130885427	flip	24.3130855003
24.408661822	flip	24.4086593327
24.503945238	flip	24.5039421955
24.5801361251	flip	24.5801330826
24.6564116479	flip	24.6564086054
24.7325466644	flip	24.7325425156
24.8087411471	flip	24.8087381047
24.8984532698	flip	24.8984507805
24.9754177709	flip	24.9754155582
25.0512560095	flip	25.0512537968
25.1276208699	flip	25.1276186572
25.207850758	flip	25.2078466092
25.285259458	flip	25.285256139
25.3833269995	flip	25.3833236804
25.4640284686	flip	25.4640254261
25.5401574002	flip	25.5401543577
25.6174311257	flip	25.6174283598
25.6936684794	flip	25.693665437
25.8087062972	flip	25.8087032547
25.8856790959	flip	25.8856760535
25.9619385766	flip	25.9619355342
26.0365490452	flip	26.0365457262
26.1129028422	flip	26.1129000763
26.2187776068	flip	26.218773458
26.2952813139	flip	26.2952782715
26.3888966333	flip	26.3888944206
26.465063734	flip	26.4650615213
26.540708085	flip	26.5407058723
26.6165557276	flip	26.6165532383
26.692444305	flip	26.6924420923
26.776048832	flip	26.7760444066
26.8516035689	flip	26.8516005264
26.9282024219	flip	26.9281991029
27.0036100144	flip	27.0036000573
27.0808992288	flip	27.0808959098
27.1570270541	flip	27.1570240116
27.2329576728	flip	27.2329546303
27.3352816127	flip	27.3352791234
27.411805234	flip	27.4118027447
27.4877726388	flip	27.4877701495
27.5755912464	flip	27.5755884805
27.6517298585	flip	27.6517265395
27.7280338697	flip	27.7280299975
27.8040380606	flip	27.8040350181
27.8801653327	flip	27.8801622902
27.9560641439	flip	27.956061378
28.0324223662	flip	28.0324196003
28.1088060345	flip	28.108802992
28.1849637311	flip	28.1849604121
28.2596516441	flip	28.2596483251
28.3362729007	flip	28.3362695817
28.417683539	flip	28.4176807732
28.4942873706	flip	28.4942843282
28.5717649408	flip	28.5717618984
28.6501497166	flip	28.6501466741
28.7266111059	flip	28.7266080634
28.8166025814	flip	28.8165976029
28.8937374602	flip	28.8937346944
28.9704956274	flip	28.970492585
29.0475472535	flip	29.0475442111
29.1239820904	flip	29.1239793246
29.1997116303	flip	29.199709141
29.2766880247	flip	29.2766849823
29.3533444079	flip	29.3533413654
29.4301266382	flip	29.4301235957
29.50640548	flip	29.5064027141
29.5834396811	flip	29.583436362
29.6604611592	flip	29.6604581167
29.7372638569	flip	29.7372605378
29.8150719486	flip	29.8150689061
29.8921523397	flip	29.8921498504
29.9682693781	flip	29.9682666122
30.0440863195	flip	30.0440830005
30.120461137	flip	30.1204580946
30.1971706249	flip	30.1971675824
30.2734016171	flip	30.2733980215
30.3702914509	flip	30.3702892382
30.4457847854	flip	30.4457825727
30.5215029852	flip	30.5215007725
30.6075937533	flip	30.6075898811
30.6824797027	flip	30.6824769368
30.758498276	flip	30.7584955102
30.8507184902	flip	30.8507151712
30.9273909154	flip	30.9273887027
31.0143108916	flip	31.0143050833
31.1017292777	flip	31.1017267884
31.1763972764	flip	31.1763950637
31.2652016403	flip	31.2651933427
31.3520126411	flip	31.3520062796
31.436337954	flip	31.4363357413
31.5101427245	flip	31.5101405118
31.5833276633	flip	31.583325174
31.6574690402	flip	31.6574668275
31.7321215501	flip	31.7321193374
31.8060139986	flip	31.8060117859
31.8807085497	flip	31.880706337
31.9828383255	flip	31.9828355596
32.0578437604	flip	32.0578409945
32.1324727603	flip	32.1324688881
32.2078446731	flip	32.2078419073
32.2959702923	flip	32.2959666967
32.3780010389	flip	32.3779985496
32.4520409083	flip	32.4520386956
32.5267163749	flip	32.5267141622
32.6116573706	flip	32.6116548813
32.6893061481	flip	32.6893033823
32.763552075	flip	32.7635490325
32.8390249421	flip	32.8390221762
32.9139042533	flip	32.9139006577
32.9885960385	flip	32.988592996
33.0640191199	flip	33.0640160775
33.1638106286	flip	33.1638081393
